,Contributor,Taxon,UniqueID,AphiaID,Relative.Adult.Mobility,Relative.Adult.Mobility.Certainty,Relative.Adult.Mobility.Reference,Estimated.Max.Body.Size,Estimated.Max.Body.Size.Certainty,Estimated.Max.Body.Size.Reference,Gregariousness,Gregariousness.Certainty,Gregariousness.Reference,Foundation.Species,Foundation.Species.Certainty,Foundation.Species.Reference,Habitat.Complexity,Habitat.Complexity.Certainty,Habitat.Complexity.Reference,Abundance,Abundance.Certainty,Abundance.Reference,Chemosynthesis.Obligate,Chemosynthesis.Obligate.Certainty,Chemosynthesis.Obligate.Reference,Position.of.Symbiont,Position.of.Symbiont.Certainty,Position.of.Symbiont.Reference,Min.Depth.Range.Lower.Bound,Min.Depth.Range.Upper.Bound,Max.Depth.Range.Lower.Bound,Max.Depth.Range.Upper.Bound,Depth.Range.Certainty,Depth.Range.Reference,Substratum,Substratum.Certainty,Substratum.Reference,Zonation.From.Vent,Zonation.From.Vent.Certainty,Zonation.From.Vent.Reference,Nutritional.Source,Nutritional.Source.Certainty,Nutritional.Source.Reference,Trophic.Mode,Trophic.Mode.Certainty,Trophic.Mode.Reference,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
142,daphne.cuvelier@gmail.com; ijc1g15@soton.ac.uk; sam.southgate@hotmail.co.uk; maria.aa.colaco@uac.pt,Cataetyx laticeps,Cat142,126657,4,3,129; 66,1000,3,451; 129,Sometimes,3,129; 66,No,3,66,Does not add,3,66,Low,3,66,No,3,129; 165,None,3,66,500,1000,2500,3000,3,129; 165,Water column,3,129; 66,High,3,129; 66,Fauna,3,129; 338; 66,Carnivore O,3,129; 66,Chordata,Actinopterygii,Ophidiiformes,Bythitidae,Cataetyx,,laticeps,
143,sam.southgate@hotmail.co.uk; elenamkr@mail.ru,Catillopecten vulcani,Cat143,391784,3,3,129,100,3,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,2,NA,Vent,3,129,NA,NA,NA,2500,3000,2500,3000,NA,66,Hard,3,129,Low,3,129,Water column,3,129,Detritivore,3,129,Mollusca,Bivalvia,Pectinida,Propeamussiidae,Catillopecten,,vulcani,
144,bates.amanda@gmail.com; verenat,Caulophacus cyanae,Cau144,835581,1,3,129,100,3,129,Sometimes,1,66,No,2,66,Open bush forming,NA,NA,Low,1,66,No,2,66,None,3,66,2500,3000,2500,3000,1,129,Hard,3,66,Low,3,129,Water column,3,66,Detritivore,1,66,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Caulophacus,,cyanae,
145,sam.southgate@hotmail.co.uk; maria.aa.colaco@uac.pt,Centroscymnus coelolepis,Cen145,105907,4,3,66,1000,3,165; 129,Never,1,66,No,3,66,Does not add,3,66,Low,2,66,No,3,165; 129,None,3,66,0,500,3500,4000,3,165; 129,Water column,3,129,Low,3,66; 129,Fauna,3,165; 129,Carnivore O,3,165; 129,Chordata,Elasmobranchii,Squaliformes,Somniosidae,Centroscymnus,,coelolepis,
146,sabine.gollner@nioz.nl; sam.southgate@hotmail.co.uk,Ceuthoecetes acanthothrix,Ceu146,350012,4,2,66,10,3,66,NA,NA,NA,No,3,66,Does not add,2,66,High,3,NA,Vent,3,196; 66; 129,None,2,66,1000,1500,3500,4000,3,129,Hard,3,200,Medium,3,200; 196; 195,Sediment or rock surface,1,217,Carnivore O,1,129,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Ceuthoecetes,,acanthothrix,
147,sabine.gollner@nioz.nl; sam.southgate@hotmail.co.uk,Ceuthoecetes aliger,Ceu147,350013,4,2,66,10,3,66,NA,NA,NA,No,3,66,Does not add,2,66,High,3,200,Vent,3,196; 66; 129,None,2,66,1000,1500,3500,4000,3,129,Hard,3,196,Medium,3,196,Sediment or rock surface,1,129,Carnivore O,1,129,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Ceuthoecetes,,aliger,
148,sam.southgate@hotmail.co.uk; sabine.gollner@nioz.nl,Ceuthoecetes cristatus,Ceu148,350014,4,3,66,10,3,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,3,NA,Vent,3,129,NA,NA,NA,1000,1500,3500,4000,3,129,NA,NA,NA,NA,NA,NA,Sediment or rock surface,NA,-9997,Carnivore O,NA,-9997,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Ceuthoecetes,,cristatus,
149,sabine.gollner@nioz.nl; sam.southgate@hotmail.co.uk,Ceuthoecetes introversus,Ceu149,350015,4,2,66,10,3,66,NA,NA,NA,No,3,66,Does not add,2,66,High,3,200,Vent,3,196; 66; 129,None,2,66,1000,1500,3500,4000,3,129,Hard,3,200,Medium,3,200; 196; 195,Sediment or rock surface,1,217,Carnivore O,1,129,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Ceuthoecetes,,introversus,
150,ahilario@ua.pt; sam.southgate@hotmail.co.uk; William.Reid@newcastle.ac.uk; maria.aa.colaco@uac.pt,Chaceon affinis,Cha150,107369,3,3,345; 66,100,3,129; 626,Sometimes,3,66,No,3,66,Does not add,3,66,Low,3,345; 66,No,3,345; 66,None,3,66,0,500,1500,2000,3,129; 626,Hard,3,129; 66,Low,2.5,129; 97,Fauna,3,129; 66,Carnivore O,3,129; 96,Arthropoda,Malacostraca,Decapoda,Geryonidae,Chaceon,,affinis,
151,asac1g09@soton.ac.uk; ijc1g15@soton.ac.uk; sabine.gollner@nioz.nl,Chasmatopontius thescalus,Cha151,350037,4,2,66,10,3,66,NA,NA,NA,No,2,66,NA,NA,NA,NA,NA,NA,Vent,3,129,NA,NA,NA,1500,2000,3500,4000,3,129,Water column,2,66,NA,NA,NA,Water column,1,-9996,NA,NA,NA,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Chasmatopontius,,thescalus,
152,bates.amanda@gmail.com; ijc1g15@soton.ac.uk,Cheramomyzon abyssale,Che152,350043,3,2,66,10,3,242,Sometimes,1,66,No,3,66,Does not add,2,66,NA,NA,NA,Vent,1,541; 242,NA,NA,NA,2500,3000,2500,3000,2,129,NA,NA,NA,NA,NA,NA,Water column,2,242,NA,NA,NA,Arthropoda,Hexanauplia,Siphonostomatoida,Asterocheridae,Cheramomyzon,,abyssale,
153,cpd4@psu.edu; ijc1g15@soton.ac.uk; William.Reid@newcastle.ac.uk; asac1g09@soton.ac.uk,Chiridota hydrothermica,Chi153,242132,3,3,66,1000,3,478,NA,NA,NA,No,3,66,NA,NA,NA,NA,NA,NA,Vent,3,478,None,3,66,NA,NA,NA,NA,NA,NA,Hard,3,66,Low,3,66,Sediment or rock surface,3,478,Detritivore,3,NA,Echinodermata,Holothuroidea,Apodida,Chiridotidae,Chiridota,,hydrothermica,
154,jtc@soton.ac.uk; William.Reid@newcastle.ac.uk; leigh.marsh@southampton.ac.uk; asac1g09@soton.ac.uk,Chiridota sp.,Chi154,123438,3,3,102,1000,NA,102,Never,1,102,No,1,102,Does not add,1,102,Low,3,102,Other CBE,3,66,None,3,NA,0,500,2500,3000,NA,102; 650,Hard,3,102,Medium,3,102,Sediment or rock surface,3,NA,Detritivore,3,NA,Echinodermata,Holothuroidea,Apodida,Chiridotidae,Chiridota,,,
155,tresa2812@gmail.com; asac1g09@soton.ac.uk,Chondrocladia (Chondrocladia) lampadiglobus,Cho155,235778,1,NA,NA,1000,NA,66,NA,NA,NA,Yes,1,550,NA,NA,NA,NA,NA,NA,Vent,NA,550,NA,NA,NA,2500,3000,2500,3000,NA,550,Hard,NA,550,NA,NA,NA,Fauna,NA,NA,Carnivore O,NA,NA,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Chondrocladia,Chondrocladia,lampadiglobus,
156,bates.amanda@gmail.com,Chondrophellia coronata,Cho156,100948,2,2,66,10,2,129,Never,2,129,No,2,66,NA,2,66,Low,2,129,Vent,2,66,None,1,66,500,1000,2500,3000,2,129,Hard,1,129,Low,2,129,Fauna,2,129,Carnivore O,2,129,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Chondrophellia,,coronata,
157,cpd4@psu.edu; ijc1g15@soton.ac.uk; asac1g09@soton.ac.uk,Chondrophellia orangina,Cho157,592973,1,2,66,100,3,620,NA,NA,NA,No,3,66,NA,NA,NA,NA,NA,NA,No,2,NA,None,2,66,2500,3000,2500,3000,3,-9999,Hard,2,66,Low,3,66,Fauna,2,-9996,NA,NA,NA,Cnidaria,Anthozoa,Actiniaria,Hormathiidae,Chondrophellia,,orangina,
158,cchen@jamstec.go.jp; ijc1g15@soton.ac.uk; jtc@soton.ac.uk; Terue-Cristina.Kihara@senckenberg.de,Chrysomallon squamiferum,Chr158,736932,3,4,102; 81; 66,100,3,82; 129,Always,3,102,NA,3,66,Mat forming,NA,NA,High,3,"66; 102; 560
",Vent,3,82; 102; 581,Endosymbiont,3,377; 102; 193,2000,2500,2500,3000,NA,NA,Hard,3,82; 102; 581,High,3,647; 102; 560; 66,Symbiont,3,193; 102; 66,Bacterivore,3,193; 102; 66,Mollusca,Gastropoda,,Peltospiridae,Chrysomallon,,squamiferum,
159,sam.southgate@hotmail.co.uk,Cirrothauma magna,Cir159,410348,4,3,129,1000,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,3,129,No,2,129,NA,NA,NA,1000,1500,3000,3500,3,129,NA,NA,NA,NA,NA,NA,Fauna,3,129,Carnivore S,3,129,Mollusca,Cephalopoda,Octopoda,Cirroteuthidae,Cirrothauma,,magna,
160,bates.amanda@gmail.com; asac1g09@soton.ac.uk,Cirrothauma murrayi,Cir160,139174,4,3,66,1000,1,129,Never,1,66,No,3,66,Does not add,2,66,NA,NA,NA,No,NA,394,NA,NA,NA,0,500,4500,5000,1,147,Water column,2,66,NA,NA,NA,Fauna,2,66,Carnivore O,1,expert opinon,Mollusca,Cephalopoda,Octopoda,Cirroteuthidae,Cirrothauma,,murrayi,
161,William.Reid@newcastle.ac.uk; asac1g09@soton.ac.uk,Cladorhiza abyssicola,Cla161,133188,1,NA,-9997,100,NA,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,-9999,None,2,NA,1500,2000,1500,2000,NA,555,NA,NA,NA,NA,NA,NA,Fauna,3,NA,Carnivore O,3,NA,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Cladorhiza,,abyssicola,
162,daphne.cuvelier@gmail.com; ijc1g15@soton.ac.uk,Cladorhiza aff. grimaldii,Cla162,168232,1,3,-9996,1000,2,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,1,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fauna,2,-9997,NA,NA,NA,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Cladorhiza,,grimaldii,
163,tresa2812@gmail.com; maria.aa.colaco@uac.pt; asac1g09@soton.ac.uk,Cladorhiza segonzaci,Cla163,235776,1,NA,NA,100,3,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,NA,-9999,NA,NA,NA,2500,3000,2500,3000,3,550,Hard,3,550,NA,NA,NA,Fauna,NA,NA,Carnivore O,NA,NA,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Cladorhiza,,segonzaci,
164,William.Reid@newcastle.ac.uk,Cladorhiza sp,Cla164,131895,1,3,66,1000,NA,NA,Always,1,66,NA,NA,NA,Open bush forming,1,66,High,1,66,Vent,1,447,None,2,66,2000,2500,2500,3000,3,447,Hard,2,66,Low,3,66,Water column,3,NA,Carnivore O,2,331; 187,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Cladorhiza,,,
165,hans.rapp@uib.no,Clathrina pellucida,Cla165,1051759,1,3,66,10,3,163,Always,3,66,No,2,66,Does not add,2,66,Low,2,66,No,3,66,NA,NA,NA,0,500,2500,3000,3,66,Hard,3,NA,Medium,3,66,Water column,3,66,NA,NA,NA,Porifera,Calcarea,Clathrinida,Clathrinidae,Clathrina,,pellucida,
166,asac1g09@soton.ac.uk; ijc1g15@soton.ac.uk; reboschen@uvic.ca; verenat,Clypeosectus curvus,Cly166,449948,3,3,-9996,10,3,129,Sometimes,3,66,No,3,66,Does not add,3,66,Low,3,66,Vent,3,129,None,2,66,1500,2000,2000,2500,3,358; 66,Hard,3,66; 48,Medium,3,66,Sediment or rock surface,NA,-9998,Detritivore,1.833333333,66,Mollusca,Gastropoda,Lepetellida,Lepetodrilidae,Clypeosectus,,curvus,
167,ijc1g15@soton.ac.uk; stace@whoi.edu; smills@whoi.edu,Clypeosectus delectus,Cly167,449949,3,3,-9996,10,NA,66,NA,NA,NA,No,NA,NA,Does not add,NA,66,NA,NA,NA,Vent,3,NA,NA,NA,NA,2000,2500,2500,3000,3,NA,Hard,NA,66,Low,NA,66,Fauna,2,66,Bacterivore,NA,NA,Mollusca,Gastropoda,Lepetellida,Lepetodrilidae,Clypeosectus,,delectus,
168,sam.southgate@hotmail.co.uk; asac1g09@soton.ac.uk,Coelorinchus cf.labiatus,Coe168,268809,4,3,129,1000,3,129,Never,1,66,No,3,66,Does not add,3,66,Low,1,66,No,1,129,NA,NA,NA,0,500,2000,2500,3,129,Water column,3,129,Low,3,129,Fauna,3,129,Carnivore O,3,129,Chordata,Actinopterygii,Gadiformes,Macrouridae,Coelorinchus,,,
169,asac1g09@soton.ac.uk,Collocherides brychius,Col169,361363,3,1,-9996,1,2,237; 238,NA,NA,NA,No,3,66,NA,NA,NA,NA,NA,NA,Vent,3,66,None,2,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,66,NA,3,66,Arthropoda,Hexanauplia,Siphonostomatoida,Asterocheridae,Collocherides,,brychius,
170,cchen@jamstec.go.jp; elenamkr@mail.ru,Conchocele bisecta,Con170,420805,2,3,66,1000,3,66,Sometimes,2,NA,Yes,3,269,Burrow forming,3,276,High,3,66,Other CBE,3,66,Endosymbiont,1,66,0,500,1500,2000,3,NA,Soft,3,NA,Low,3,NA,Symbiont,3,NA,Bacterivore,3,NA,Mollusca,Bivalvia,Lucinida,Thyasiridae,Conchocele,,bisecta,
171,daphne.cuvelier@gmail.com; gorolen@mail.ru,Copidognathus alvinus,Cop171,114818,3,2,NA,10,2,NA,Never,3,NA,No,3,NA,Does not add,3,NA,Low,3,NA,Vent,2,NA,None,3,NA,1500,2000,1500,2000,2,NA,Hard,2,NA,Low,2,NA,Sediment or rock surface,2,NA,Detritivore,2,NA,Arthropoda,Arachnida,Trombidiformes,Halacaridae,Copidognathus,,alvinus,
172,gorolen@mail.ru,Copidognathus nautilei,Cop172,114852,3,2,NA,10,2,NA,Never,3,NA,No,3,NA,Does not add,3,NA,Low,3,NA,Vent,2,NA,None,3,NA,3000,3500,4000,4500,2,NA,Hard,2,NA,Low,2,NA,Sediment or rock surface,2,NA,Detritivore,2,NA,Arthropoda,Arachnida,Trombidiformes,Halacaridae,Copidognathus,,nautilei,
173,asac1g09@soton.ac.uk; ijc1g15@soton.ac.uk; William.Reid@newcastle.ac.uk; reboschen@uvic.ca,Copidognathus papillatus,Cop173,406844,3,2,66,1,3,129,NA,NA,NA,No,3,66,Does not add,1,66,Low,3,66,Vent,3,129,None,3,66,2000,2500,2000,2500,3,66,Hard,3,66,High,2,66,Fauna,2,66,Carnivore O,3,66,Arthropoda,Arachnida,Trombidiformes,Halacaridae,Copidognathus,,papillatus,
174,asac1g09@soton.ac.uk; verenat,Cornisepta verenae,Cor174,457903,2,3,66,1,1,66,Never,NA,66,No,3,66,Does not add,NA,66,Low,NA,,Vent,3,66,None,2,66,1500,2000,1500,2000,NA,66,Hard,NA,66,Low,NA,66,Sediment or rock surface,2,66,Detritivore,3,66,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Cornisepta,,verenae,
175,sam.southgate@hotmail.co.uk; maria.aa.colaco@uac.pt; asac1g09@soton.ac.uk,Coryphaenoides armatus,Cor175,158952,4,3,66,1000,3,129; 165,Never,1,66,No,3,66,Does not add,3,66,Low,1,66,No,3,129; 66,None,3,66,0,500,5001,NA,3,129; 165,Water column,3,129; 165,Low,3,129; 451,Fauna,3,129; 66,Carnivore O,3,129; 165,Chordata,Actinopterygii,Gadiformes,Macrouridae,Coryphaenoides,,armatus,
176,bates.amanda@gmail.com; stace@whoi.edu; smills@whoi.edu,Ctenopelta porifera,Cte176,449950,3,2,66,10,3,129,Never,3,129,No,3,66,Does not add,3,66,Low,2,NA,Vent,3,129,Endosymbiont,1,66,2000,2500,2500,3000,3,129,Hard,3,129; 66,High,3,129,Sediment or rock surface,2,576; 66,Bacterivore,2,NA,Mollusca,Gastropoda,,Peltospiridae,Ctenopelta,,porifera,
177,cpd4@psu.edu; ijc1g15@soton.ac.uk; asac1g09@soton.ac.uk,Cyananthea hourdezi,Cya177,592981,1,2,66,100,3,620,NA,NA,NA,No,3,66,NA,NA,NA,NA,NA,NA,No,2,NA,None,2,66,2000,2500,2500,3000,3,-9999,Hard,2,66,Low,3,66,Fauna,2,-9996,NA,NA,NA,Cnidaria,Anthozoa,Actiniaria,Kadosactinidae,Cyananthea,,hourdezi,
178,bates.amanda@gmail.com; asac1g09@soton.ac.uk,Cyananthea hydrothermala,Cya178,289763,2,2,66,10,2,129,Sometimes,1,66,No,2,66,Does not add,2,66,High,1,66,Vent,2,66,None,2,129,2500,3000,2500,3000,2,147; 129,Hard,2,129,Medium,2,129,Fauna,2,129,Carnivore O,2,129,Cnidaria,Anthozoa,Actiniaria,Kadosactinidae,Cyananthea,,hydrothermala,
179,bates.amanda@gmail.com; lokabharathiponnapakkam@gmail.com; Marjolaine.Matabos@ifremer.fr; stace@whoi.edu; William.Reid@newcastle.ac.uk; smills@whoi.edu; asac1g09@soton.ac.uk,Cyathermia naticoides,Cya179,449951,3,3,66,10,3,66; 129,Sometimes,2,66,No,3,66,Does not add,2,66,High,3,66,Vent,3,66; 129,Episymbiont,2,614,1500,2000,2500,3000,2,147; 129,Hard,3,129,High,2,66; 129,Fauna,2,66; 129; 614,Bacterivore,3,66; 614; 129,Mollusca,Gastropoda,,Neomphalidae,Cyathermia,,naticoides,
180,ijc1g15@soton.ac.uk; tammy.horton@noc.ac.uk,Cyclocaris tahitensis,Cyc180,431783,4,3,233,100,3,497,Never,3,233,No,3,66,Does not add,3,66,Low,3,233,No,3,233; 129,None,2,NA,0,500,2000,2500,3,233,Water column,3,233,Low,3,233,Fauna,3,233; 526,Carnivore S,3,233,Arthropoda,Malacostraca,Amphipoda,Cyclocaridae,Cyclocaris,,tahitensis,
181,ijc1g15@soton.ac.uk; sam.southgate@hotmail.co.uk; stace@whoi.edu; smills@whoi.edu,Dahlella caldariensis,Dah181,459330,4,2,-9996,10,3,221; 129,NA,NA,NA,No,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,3,129,NA,NA,NA,2000,2500,2500,3000,3,NA,NA,NA,NA,NA,NA,NA,Water column,1,10,NA,NA,NA,Arthropoda,Malacostraca,Leptostraca,Nebaliidae,Dahlella,,caldariensis,
182,daphne.cuvelier@gmail.com; gorolen@mail.ru; ijc1g15@soton.ac.uk; maria.aa.colaco@uac.pt,Dendronotus comteti,Den182,139522,3,2,551; 66,100,2,NA,Never,2,NA,No,3,551; 66,Does not add,3,551; 66,Low,3,551; 66,No,2,551; 66,None,3,551; 66,1500,2000,1500,2000,3,551; 66,Hard,1.5,551; 66,Low,2,NA,Fauna,3,551,Carnivore O,3,551,Mollusca,Gastropoda,Nudibranchia,Dendronotidae,Dendronotus,,comteti,
183,asac1g09@soton.ac.uk; William.Reid@newcastle.ac.uk; verenat; reboschen@uvic.ca,Depressigyra globulus,Dep183,413442,3,3,66,10,3,129,Sometimes,NA,NA,No,3,66,Does not add,NA,NA,High,NA,NA,Vent,3,129,None,3,66,1500,2000,2000,2500,NA,66,Hard,2,129,High,2,129,Sediment or rock surface,3,66,Detritivore,3,66,Mollusca,Gastropoda,,Peltospiridae,Depressigyra,,globulus,
184,asac1g09@soton.ac.uk; cpd4@psu.edu; hwatanabe@jamstec.go.jp,Desbruyeresia cancellata,Des184,449953,3,3,66,10,3,129,Sometimes,NA,66,No,3,66,Does not add,NA,NA,Low,NA,66,Vent,2,129,None,2,66,1500,2000,1500,2000,3,277,Hard,2,66,NA,NA,NA,Sediment or rock surface,3,129,Detritivore,3,129,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Desbruyeresia,,cancellata,
185,asac1g09@soton.ac.uk; verenat,Desbruyeresia marianensis,Des185,449954,3,2,66,10,3,129,Sometimes,NA,NA,No,NA,NA,Does not add,NA,NA,Low,NA,NA,Vent,2,129,None,NA,NA,1500,2000,3500,4000,NA,66; 277,Hard,NA,66,Low,NA,66,Sediment or rock surface,3,66,Detritivore,3,66,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Desbruyeresia,,marianensis,
186,cchen@jamstec.go.jp; William.Reid@newcastle.ac.uk; jtc@soton.ac.uk; asac1g09@soton.ac.uk,Desbruyeresia marisindica,Des186,396135,3,3,66,100,3,396,Sometimes,2,NA,No,NA,NA,Does not add,NA,NA,Low,3,NA,Vent,3,396,None,3,NA,2000,2500,2000,2500,1,66,Hard,3,66,Low,3,NA,Sediment or rock surface,3,NA,Detritivore,3,NA,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Desbruyeresia,,marisindica,
187,asac1g09@soton.ac.uk,Desbruyeresia melanioides,Des187,449955,3,2,66,10,3,129,NA,NA,NA,NA,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,3,277,NA,NA,NA,1500,2000,1500,2000,3,277,NA,NA,NA,NA,NA,NA,Sediment or rock surface,3,129,Detritivore,3,129,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Desbruyeresia,,melanioides,
188,asac1g09@soton.ac.uk,Desbruyeresia spinosa,Des188,449956,3,2,66,10,3,129,NA,NA,NA,NA,NA,NA,Does not add,NA,NA,NA,NA,NA,Vent,3,277,NA,NA,NA,1500,2000,2500,3000,3,277,NA,NA,NA,NA,NA,NA,Sediment or rock surface,3,129,Detritivore,3,129,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Desbruyeresia,,spinosa,
189,corbari@mnhn.fr,Dulichiopsis dianae,Dul189,1064466,1,3,106,10,3,106,Always,3,106,No,3,106,Does not add,3,106,Low,3,106,No,3,106,None,3,106,3500,4000,3500,4000,3,106,Hard,3,106,Low,3,106,Sediment or rock surface,3,106,Detritivore,3,106,Arthropoda,Malacostraca,Amphipoda,Dulichiidae,Dulichiopsis,,dianae,
190,sabine.gollner@nioz.nl; sam.southgate@hotmail.co.uk,Ecbathyrion prolixicauda,Ecb190,351201,4,2,66,1,3,129,NA,NA,NA,No,3,66,Does not add,2,66,NA,NA,NA,Vent,3,200; 129,None,2,66,2000,2500,2500,3000,2,200,Hard,3,200,High,3,200; 196; 195,Sediment or rock surface,1,66,NA,NA,NA,Arthropoda,Hexanauplia,Siphonostomatoida,Ecbathyriontidae,Ecbathyrion,,prolixicauda,
191,bates.amanda@gmail.com; ijc1g15@soton.ac.uk; M Matabos; asac1g09@soton.ac.uk,Echinopelta fistulosa,Ech191,449957,3,2,66,100,2,66,Never,3,129,No,3,66,Does not add,2,66,NA,NA,NA,Vent,2,129,NA,NA,NA,2500,3000,2500,3000,2,129,Hard,NA,129,Medium,2,129,Sediment or rock surface,2,315,NA,NA,NA,Mollusca,Gastropoda,,Peltospiridae,Echinopelta,,fistulosa,
192,asac1g09@soton.ac.uk; cpd4@psu.edu; hwatanabe@jamstec.go.jp; pjt11@duke.edu; William.Reid@newcastle.ac.uk,Eochionelasmus ohtai cf. manusensis,Eoc192,883019,1,3,66; 129,100,3,129,Always,3,99,No,3,66,Does not add,3,66,High,3,99,Vent,3,541; 129,None,3,66,1000,1500,2000,2500,3,129,Hard,3,66,Medium,2,66,Water column,3,129; 66,Detritivore,3,129; 66,Arthropoda,Hexanauplia,Sessilia,Chionelasmatidae,Eochionelasmus,,ohtai,manusensis
193,ijc1g15@soton.ac.uk; asac1g09@soton.ac.uk,Eochionelasmus paquensis,Eoc193,733174,1,3,604,10,3,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,NA,604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Water column,2,604,NA,NA,NA,Arthropoda,Hexanauplia,Sessilia,Chionelasmatidae,Eochionelasmus,,paquensis,
194,hwatanabe@jamstec.go.jp,Eochionelasmus sp.,Eoc194,733076,1,NA,-9997,10,3,66,Always,NA,NA,No,NA,NA,Mat forming,NA,NA,Low,NA,NA,Vent,2,66,None,3,NA,2500,3000,2500,3000,2,NA,Hard,3,NA,Medium,2,66,Water column,1,NA,NA,NA,NA,Arthropoda,Hexanauplia,Sessilia,Chionelasmatidae,Eochionelasmus,,,
195,William.Reid@newcastle.ac.uk; marjolaine.Matabos@ifremer.fr; asac1g09@soton.ac.uk,Eosipho sp.,Eos195,415347,3,NA,-9997,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,NA,NA,None,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fauna,2,NA,Carnivore O,2,NA,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Eosipho,,,
196,sam.southgate@hotmail.co.uk,Epigonus telescopus,Epi196,126858,4,3,129,1000,3,129,Never,1,66,No,3,66,Does not add,3,66,Low,1,66,No,1,129,NA,NA,NA,0,500,1000,1500,3,129,Water column,3,129,Low,3,129,Fauna,3,129,Carnivore O,3,129,Chordata,Actinopterygii,Perciformes,Epigonidae,Epigonus,,telescopus,
197,ijc1g15@soton.ac.uk; sam.southgate@hotmail.co.uk,Erebonaster protentipes,Ere197,351528,3,3,129,1,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,3,129,NA,NA,NA,2000,2500,2000,2500,3,129,NA,NA,NA,NA,NA,NA,Water column,1,-9996,NA,NA,NA,Arthropoda,Hexanauplia,Cyclopoida,Erebonasteridae,Erebonaster,,protentipes,
198,divaamon@gmail.com; William.Reid@newcastle.ac.uk,Escarpia sp.,Esc198,264983,1,3,426,1000,3,426,Sometimes,3,426,Yes,1,66,Open bush forming,3,426,High,3,426,Other CBE,3,426,Endosymbiont,3,426; 47,1000,1500,2000,2500,3,426,Soft,3,426,Medium,3,426,Symbiont,3,426; 47,Bacterivore,3,426,Annelida,Polychaeta,Sabellida,Siboglinidae,Escarpia,,,
199,sam.southgate@hotmail.co.uk; maria.aa.colaco@uac.pt,Etmopterus princeps,Etm199,105911,4,3,66,100,3,165; 129,Never,1,66,No,3,66,Does not add,3,66,Low,3,66,No,3,165; 129,None,3,66,0,500,2000,2500,3,165; 129,Water column,3,129,Low,3,66; 129,Fauna,3,66; 129,Carnivore O,2.5,66; 129,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,,princeps,
200,sam.southgate@hotmail.co.uk; maria.aa.colaco@uac.pt,Etmopterus pusillus,Etm200,105912,4,3,66,100,3,165; 129,Never,1,66,No,3,66,Does not add,3,66,Low,2,66,No,3,165; 129,None,3,66,0,500,500,1000,3,165; 129,Water column,3,129,Low,3,66; 129,Fauna,3,165; 129,Carnivore O,3,165; 129,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,,pusillus,
201,daphne.cuvelier@gmail.com; ijc1g15@soton.ac.uk,Euchelipluma pristina,Euc201,133198,1,3,-9996,100,3,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fauna,2,129,NA,NA,NA,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Euchelipluma,,pristina,
