"","unique(bis$scientificName)"
"1891","Ventritossa rhipidodorsalis"
"1892","Chrionema"
"1893","Caranx ignobilis"
"1894","Cheilodipterus"
"1895","Parapercis sexfasciatus"
"1896","Doryrhamphus negrosensis negrosensis"
"1897","Dictyosoma rubrimaculatum"
"1898","Argyropelecus"
"1899","Giganturidae"
"1900","Cobitis matsubarai"
"1901","Pseudamia rubra"
"1902","Synaptura marginata"
"1903","Eviota saipanensis"
"1904","Winteria telescopa"
"1905","Omosudis lowei"
"1906","Sphoeroides pachygaster"
"1907","Sternoptyx diaphana"
"1908","Tarphops ologolepis"
"1909","Lepadichthys coccinotaenia"
"1910","Ratabulus megacephalus"
"1911","Scymnodon ichiharai"
"1912","Trachinotus mookalee"
"1913","Helcogramma"
"1914","Doryrhamphus negrosensis"
"1915","Misgurnus anguillicaudatus"
"1916","Nectamia savayensis"
"1917","Aspasmichthys ciconiae"
"1918","Bathysphyraenops simplex"
"1919","Sternoptyx obscura"
"1920","Scarus quoyi"
"1921","Canthigaster amboinensis"
"1922","Liopropoma maculatum"
"1923","Simenchelys parasiticus"
"1924","Raja gigas"
"1925","Photonectes"
"1926","Kali indica"
"1927","Porogadus miles"
"1928","Scarus festivus"
"1929","Abyssicola macrochir"
"1930","Cypselurus pinnatibarbatus japonicus"
"1931","Scolopsis eriomma"
"1932","Heniochus chrysostomus"
"1933","Cephalopholis boenack"
"1934","Sternoptychidae"
"1935","Parascolopsis eriomma"
"1936","Cottiusculus nihonkaiensis"
"1937","Ocosia fasciata"
"1938","Alionematichthys shinoharai"
"1939","Bembrops caudimacula"
"1940","Moridae"
"1941","Polydactylus plebeius"
"1942","Lophiodes insidiator"
"1943","Dysalotus alcocki"
"1944","Trichonotus filamentosus"
"1945","Sufflamen bursa"
"1946","Parapercis pacifica"
"1947","Scolopsis bilineata"
"1948","Pegasus volitans"
"1949","Cirripectes imitator"
"1950","Zesticelus"
"1951","Pempheris adusta"
"1952","Rouleina"
"1953","Epinephelus polyphekadion"
"1954","Rhodeus"
"1955","Dinematichthys iluocoeteoides"
"1956","Osopsaron formosensis"
"1957","Pherallodus"
"1958","Repomucenus"
"1959","Eustomias orientalis"
"1960","Scarus rivulatus"
"1961","Lutjanus vitta"
"1962","Symphorus nematophorus"
"1963","Kali kerberti"
"1964","Lutjanus lutjanus"
"1965","Acanthaphritis unoorum"
"1966","Lethrinus obsoletus"
"1967","Oxyurichthys chinensis"
"1968","Priacanthus blochii"
"1969","Ipnops meadi"
"1970","Alepisaurus ferox"
"1971","Diaphus metopoclampus"
"1972","Nemipterus virgatus"
"1973","Pseudocalliurichthys variegatus"
"1974","Liopropoma japonicum"
"1975","Malthopsis kobayashii"
"1976","Sphyraena barracuda"
"1977","Idiacanthus antrostomus"
"1978","Ostichthys japonicus"
"1979","Lestidiops jayakari jayakari"
"1980","Gephyroberyx darwinii"
"1981","Prognichthys brevipinnis"
"1982","Scorpaenopsis venosa"
"1983","Raja kenojei"
"1984","Derichthys serpentinus"
"1985","Myripristis"
"1986","Paraulopus oblongus"
"1987","Neamia articycla"
"1988","Drombus"
"1989","Hypoatherina tsurugae"
"1990","Engyprosopon grandisquama"
"1991","Epinephelus akaara"
"1992","Archamia fucata"
"1993","Nomeus gronovii"
"1994","Carapidae"
"1995","Lutjanus argentimaculatus"
"1996","Caranx"
"1997","Alopias pelagicus"
"1998","Hime"
"1999","Naso brevirostris"
"2000","Benthalbella linguideus"
"2001","Seriola dumerili"
"2002","Astronesthes indopacificus"
"2003","Suezichthys"
"2004","Sunagocia arenicola"
"2005","Champsodon"
"2006","Myripristis amaena"
"2007","Scorpaenopsis popuanus"
"2008","Cantherhines fronticinctus"
"2009","Plectorhinchus orientalis"
"2010","Poromitra unicornis"
"2011","Plectroglyphidodon dickii"
"2012","Cyclothone obscura"
"2013","Oxyurichthys papuensis"
"2014","Eretmichthys pinnatus"
"2015","Stegastes altus"
"2016","Diaphus parri"
"2017","Pandaka lidwilli"
"2018","Bathophilus kingi"
"2019","Diodon eydouxii"
"2020","Hippoglossoides"
"2021","Scorpaena"
"2022","Bajacalifornia"
"2023","Chromis weberi"
"2024","Norfolkia brachylepis"
"2025","Stethojulis trilineatus"
"2026","Cubiceps whiteleggii"
"2027","Sargocentron melanospilos"
"2028","Carangichthys dinema"
"2029","Microstomus achne"
"2030","Upeneus itoui"
"2031","Cetichthys parini"
"2032","Pseudojuloides elongatus"
"2033","Muraenesox cinereus"
"2034","Anacanthobatis borneensis"
"2035","Scolecenchelys iredalei"
"2036","Trimmatom macropodus"
"2037","Gymnelopsis ochotensis"
"2038","Belonepterygion fasciolatum"
"2039","Cypselurus"
"2040","Raja badia"
"2041","Halicampus dunckeri"
"2042","Hypoatherina bleekeri"
"2043","Archamia Zosterophora"
"2044","Gnathopogon elongatus elongatus"
"2045","Leptoderma retropinnum"
"2046","Decapterus muroadsi"
"2047","Eustomias gibbsi"
"2048","Platycephalidae"
"2049","Eviota fasciola"
"2050","Cottidae"
"2051","Careproctus trachysoma"
"2052","Chauligenion camelopardalis"
"2053","Liopropoma pallidum"
"2054","Molidae"
"2055","Erythrocles schlegelii"
"2056","Caesio caerulaurea"
"2057","Entomacrodus stellifer stellifer"
"2058","Phoxocampus belcheri"
"2059","Ctenogobiops pomastictus"
"2060","Bryaninops natanus"
"2061","Kyphosus lembus"
"2062","Gnatholepis anjerensis"
"2063","Danacetichthys galathenus"
"2064","Aulopus damasi"
"2065","Peristedion nierstaszi"
"2066","Obliquogobius megalops"
"2067","Cirrhitus pinnulatus"
"2068","Echidna nebulosa"
"2069","Scarus oviceps"
"2070","Diancistrus"
"2071","Priolepis inhaca"
"2072","Katsuwonus pelamis"
"2073","Eumegistus illustris"
"2074","Istigobius ornatus"
"2075","Bryaninops yongei"
"2076","Eleotris melanosoma"
"2077","Trimmatom"
"2078","Randallichthys filamentosus"
"2079","Pseudoplesiops annae"
"2080","Pomadasys quadrilineatus"
"2081","Platax orbicularis"
"2082","Ctenochaetus"
"2083","Silurus asotus"
"2084","Kareius bicoloratus"
"2085","Taractichthys steindachneri"
"2086","Scorpaena picta"
"2087","Acentrogobius janthinopterus"
"2088","Pempheridae"
"2089","Cephalopholis leopardus"
"2090","Coccorella atlantica"
"2091","Chrysiptera unimaculate"
"2092","Oxyurichthys visayanus"
"2093","Plectranthias longimanus"
"2094","Ophichthus altipennis"
"2095","Chromis albomaculatus"
"2096","Cymbacephalus beauforti"
"2097","Bathypterois grallator"
"2098","Gymnothorax reticularis"
"2099","Myripristis violacea"
"2100","Poromitra"
"2101","Carangoides coeruleopinnatus"
"2102","Pycnocraspedum fulvum"
"2103","Paratriacanthodes retrospinis"
"2104","Foetorepus masudai"
"2105","Apogon fukuii"
"2106","Tanakia himantegus"
"2107","Macolor niger"
"2108","Cirripectes kuwamurai"
"2109","Manta birostris"
"2110","Apogon rubrimacula"
"2111","Anacanthobatis botneensis"
"2112","Anampses melanurus"
"2113","Scarus sordidus"
"2114","Chromis atripes"
"2115","Haemulidae"
"2116","Notoscopelus japonicus"
"2117","Syngnathoides biaculeatus"
"2118","Coelorinchus asteroides"
"2119","Idiacanthus fasciola"
"2120","Eustomias cancriensis"
"2121","Pseudoscopelus odontoglossum"
"2122","Bassozetus glutinosus"
"2123","Amoya moloanus"
"2124","Gobiodon erythrospilus"
"2125","Pseudorhombus arsius"
"2126","Lubricogobius dinah"
"2127","Plesiops oxycephalus"
"2128","Acanthaphritis barbatus"
"2129","Polyipnus parini"
"2130","Lactoria"
"2131","Branchiostegus japonicus"
"2132","Obliquogobius fluvostriatus"
"2133","Thunnus albacares"
"2134","Naso annulatus"
"2135","Ventrifossa gormani"
"2136","Bajacalifornia erimoensis"
"2137","Apristurus macrorhynchus"
"2138","Etmopterus splendidus"
"2139","Pholis"
"2140","Gazza rhombea"
"2141","Astronesthes cyanea"
"2142","Siphamia"
"2143","Valenciennellus tripunctulatus"
"2144","Scopelarchus guentheri"
"2145","Asterropteryx atripes"
"2146","Vellitor centropomus"
"2147","Parasciadonus pauciradiatus"
"2148","Peristedion nierstraszi"
"2149","Bolinichthys distophax"
"2150","Halieutopsis margaretae"
"2151","Pomachromis richardsoni"
"2152","Neosynchiropus"
"2153","Rhinecanthus rectangulus"
"2154","Narcetes"
"2155","Hipposcarus longiceps"
"2156","Oedalechilus labiosus"
"2157","Lutjanus monostigma"
"2158","Parapercis tetracantha"
"2159","Scarus fuscocaudalis"
"2160","Clariger exilis"
"2161","Liopropoma"
"2162","Tylerius spinosissimus"
"2163","Acanthocepola indica"
"2164","Pseudoscopelus altipinnis"
"2165","Aristostomias"
"2166","Apogon"
"2167","Nuchequula nuchalis"
"2168","Lutjanus stellatus"
"2169","Astronesthes indica"
"2170","Lycodes japonicus"
"2171","Halieutaea fumosa"
"2172","Siganus spinus"
"2173","Epibulus brevis"
"2174","Zoarces gilli"
"2175","Lethrinus rubrioperculatus"
"2176","Fusigobius inframaculatus"
"2177","Plectorhinchus picus"
"2178","Plesiobatis daviesi"
"2179","Polyipnus matsubarai"
"2180","Eustomias macrurus"
"2181","Discordipinna filamentosa"
"2182","Cocotropus possi"
"2183","Etelis radiosus"
"2184","Phyllorhinichthys micractis"
"2185","Bathylagidae"
"2186","Halicampus macrorhynchus"
"2187","Centropyge ferrugatus"
"2188","Eustomias ioani"
"2189","Plotosus"
"2190","Coris aygula"
"2191","Corythoichthys intestinalis"
"2192","Parioglossus caeruleolineatus"
"2193","Myripristis greenfieldi"
"2194","Oxycheilinus"
"2195","Microphis leiaspis"
"2196","Luciobrotula bartschi"
"2197","Siganus woodlandi"
"2198","Cheilodipterus macrodon"
"2199","Chaetodon argentatus"
"2200","Suttonia coccinea"
"2201","Hemitaurichthys polylepis"
"2202","Acropoma hanedai"
"2203","Helcogramma fuscipectoris"
"2204","Arnoglossus japonicus"
"2205","Siganus corallinus"
"2206","Chlorurus bowersi"
"2207","Neocirrhites armatus"
"2208","Chlorophthalmus pectoralis"
"2209","Istiophorus platypterus"
"2210","Antennarius coccineus"
"2211","Platyrhina sinensis"
"2212","Galeus"
"2213","Ernogrammus hexagrammus"
"2214","Cheiloprion labiatus"
"2215","Psenes maculatus"
"2216","Centropyge bicolor"
"2217","Chrysiptera kuiteri"
"2218","Alepocephalidae"
"2219","Ranzania laevis"
"2220","Epinephelus"
"2221","Ptereleotris hanae"
"2222","Pristilepis oligolepis"
"2223","Sigmops ebelingi"
"2224","Hyporhamphus dussumieri"
"2225","Oneirodidae"
"2226","Amblygobius albimacuratus"
"2227","Gnatholepis"
"2228","Paragobiodon kasaii"
"2229","Inimicus didactylus"
"2230","Samariscus triocellatus"
"2231","Ilisha elongata"
"2232","Chimaera jordani"
"2233","Apogon rufus"
"2234","Setipinna"
"2235","Lestidiops jayakari"
"2236","Chaetodon octofasciatus"
"2237","Diaphus fulgens"
"2238","Remorina albescens"
"2239","Nemipterus furcosus"
"2240","Lumpenopsis"
"2241","Zebrias"
"2242","Platax pinnatus"
"2243","Cantherhines pardalis"
"2244","Grammatonotus macrophthalmus"
"2245","Antennarius rosaceus"
"2246","Xiphias gladius"
"2247","Pervagor janthunosoma"
"2248","Paramonacanthus matuurai"
"2249","Canthigaster compressa"
"2250","Platygobiopsis tansei"
"2251","Synodus kaianus"
"2252","Dexistes rikuzenius"
"2253","Eviota flebilis"
"2254","Decapterus macrosoma"
"2255","Opisthoproctus soleatus"
"2256","Pseudonezumia cetonuropsis"
"2257","Melanostomias margaritifer"
"2258","Apterichtus moseri"
"2259","Gerres macrostoma"
"2260","Iniistius aneitensis"
"2261","Bathytyphlops"
"2262","Apristurus gibbosus"
"2263","Scomber japonica"
"2264","Cookeolus boops"
"2265","Melamphaes longivelis"
"2266","Cynoglossus itinus"
"2267","Ctenotrypauchen microcephalus"
"2268","Notoscopelus resplendens"
"2269","Sigmops elegans"
"2270","Stegastes insularis"
"2271","Vanderhorstia papilio"
"2272","Priolepis akihitoi"
"2273","Serranidae"
"2274","Psychrolutes phrictus"
"2275","Astronesthes"
"2276","Soleichthys heterorhinos"
"2277","Linophryne densiramus"
"2278","Lumpenopsis triocellatus"
"2279","Pomadasys argenteus"
"2280","Cirrhilabrus cyanocephala"
"2281","Dentex abei"
"2282","Cheilio inermis"
"2283","Eckloniopsis radicosa"
"2284","Dictyota dichotoma"
"2285","Colpomenia sinuosa"
"2286","Gelidium elegans"
"2287","Pterocladiella tenuis"
"2288","Meristotheca papulosa"
"2289","Dictyopteris undulata"
"2290","Distromium decumbens"
"2291","Plocamium telfairiae"
"2292","Chondria lancifolia"
"2293","Martensia fragilis"
"2294","Dichotomaria falcata"
"2295","Spatoglossum pacificum"
"2296","Kallymenia perforata"
"2297","Hypnea yamadae"
"2298","Rugulopteryx okamurae"
"2299","Lomentaria catenata"
"2300","Padina arborescens"
"2301","Zonaria diesingiana"
"2302","Tylotus lichenoides"
"2303","Grateloupia imbricata"
"2304","Anadyomene wrightii"
"2305","Gracilaria incurvata"
"2306","Dictyopteris prolifera"
"2307","Chondria ryukyuensis"
"2308","Amphiroa anceps"
"2309","Ralfsia fungiformis"
"2310","Tricleocarpa cylindrica"
"2311","Delisea japonica"
"2312","Sargassum tenuifolium"
"2313","Sargassum crispifolium"
"2314","Acrosorium flabellatum"
"2315","Codium subtubulosum"
"2316","Meristotheca coacta"
"2317","Portieria hornemannii"
"2318","Pachydictyon coriaceum"
"2319","Halymenia dilatata"
"2320","Gracilaria textorii"
"2321","Umbraulva japonica"
"2322","Asparagopsis taxiformis"
"2323","Chondrophycus undulata"
"2324","Sargassum hemiphyllum"
"2325","Corallina pilulifera"
"2326","Amphiroa misakiensis"
"2327","Eisenia bicyclis"
"2328","Sargassum ringgoldianum"
"2329","Marginisporum aberrans"
"2330","Grateloupia chiangii"
"2331","Sargassum horneri"
"2332","Ecklonia cava"
"2333","Marginisporum crassissimum"
"2334","Amphiroa zonata"
"2335","Sargassum patens"
"2336","Codium lucasii"
"2337","Lithophyllum okamurae"
"2338","Sargassum fusiforme"
"2339","Grateloupia elliptica"
"2340","Serraticardia maxima"
"2341","Gelidium pacificum"
"2342","Cladophora wrightiana"
"2343","Peyssonnelia caulifera"
"2344","Champia bifida"
"2345","Sargassum nipponicum"
"2346","Sargassum siliquastrum"
"2347","Ulva pertusa"
"2348","Prionitis crispata"
"2349","Champia japonica"
"2350","Codium minus"
"2351","Codium contractum"
"2352","Ptilophora subcostata"
"2353","Acanthopeltis japonica"
"2354","Sargassum giganteifolium"
"2355","Peyssonnelia conchicola"
"2356","Codium spongiosum"
"2357","Sargassum nigrifolium"
"2358","Undaria pinnatifida"
"2359","Sargassum micracanthum"
"2360","Ecklonia kurome"
"2361","Sargassum piluliferum"
"2362","Sargassum confusum"
"2363","Tinocladia crassa"
"2364","Grateloupia asiatica"
"2365","Grateloupia sparsa"
"2366","Laurencia okamurae"
"2367","Sargassum macrocarpum"
"2368","Cladophora sakaii"
"2369","Myagropsis myagroides"
"2370","Campylaephora hypnaeoides"
"2371","Nemacystus decipiens"
"2372","Dudresnaya japonica"
"2373","Chaetomorpha crassa"
"2374","Sargassum fulvellum"
"2375","Gelidium divaricatum"
"2376","Symphyocladia marchantioides"
"2377","Grateloupia lanceolata"
"2378","Schizymenia dubyi"
"2379","Halarachnion latissimum"
"2380","Cladophora opaca"
"2381","Grateloupia filicina"
"2382","Portieria japonica"
"2383","Hydroclathrus clathratus"
"2384","Chondracanthus tenellus"
"2385","Chondrus ocellatus"
"2386","Ahnfeltiopsis flabelliformis"
"2387","Leathesia difformis"
"2388","Valonia macrophysa"
"2389","Gloiopeltis furcata"
"2390","Chondracanthus intermedius"
"2391","Grateloupia ramosissima"
"2392","Callophyllis japonica"
"2393","Chondrus giganteus"
"2394","Ishige sinicola"
"2395","Polyopes prolifer"
"2396","Acrosorium venulosum"
"2397","Callophyllis crispata"
"2398","Ishige okamurae"
"2399","Chondria crassicaulis"
"2400","Palisada intermedia"
"2401","Gelidium japonicum"
"2402","Spatoglossum crassum"
"2403","Chondracanthus teedei"
"2404","Dictyopteris latiuscula"
"2405","Ulva conglobata"
"2406","Chondracanthus teedii"
"2407","Jania adhaerens"
"2408","Cladophora japonica"
"2409","Chaetomorpha spiralis"
"2410","Rhodymenia intricata"
"2411","Scinaia japonica"
"2412","Grateloupia cornea"
"2413","Callophyllis adnata"
"2414","Chthamalus challengeri"
"2415","Capitulum mitella"
"2416","Hormomya mutabilis"
"2417","Zostera asiatica"
"2418","Zostera marina"
"2419","Zostera caulescens"
"2420","Zostera japonica"
"2421","Phyllospadix iwatensis"
"2422","Ruppia maritima"
"2423","Halophila ovalis"
"2424","Halodule pinifolia"
"2425","Halodule uninervis"
"2426","Cymodocea rotundata"
"2427","Cymodocea serrulata"
"2428","Syringodium isoetifolium"
"2429","Thalassia hemprichii"
"2430","Enhalus acoroides"
"2431","Zostera caespitosa"
"2432","Umbonium moniliferum"
"2433","Batillaria cumingii"
"2434","Nassarius festivus"
"2435","Crassostrea gigas"
"2436","Mactra quadrangularis"
"2437","Ruditapes philippinarum"
"2438","Laternula marilina"
"2439","Ceratonereis erythraeensis"
"2440","Marphysa sanguinea"
"2441","Scoletoma nipponica"
"2442","Fistulobalanus albicostatus"
"2443","Amphibalanus amphitrite"
"2444","Cyathura muromiensis"
"2445","Athanas japonicus"
"2446","Nihonotrypaea japonica"
"2447","Pagurus minutus"
"2448","Pyrhila pisum"
"2449","Hemigrapsus penicillatus"
"2450","Helice tridens"
"2451","Scopimera globosa"
"2452","Macrophthalmus abbreviatus"
"2453","Dosinia japonica"
"2454","Armandia lanceolata"
"2455","Upogebia major"
"2456","Rapana venosa"
"2457","Mactra chinensis"
"2458","Solen strictus"
"2459","Diopatra sugokai"
"2460","Chaetopterus cautus"
"2461","Arenicola brasiliensis"
"2462","Matuta victor"
"2463","Ilyoplax pusilla"
"2464","Angustassiminea castanea"
"2465","Assiminea hiradoensis"
"2466","Macoma contabulata"
"2467","Corbicula japonica"
"2468","Cirriformia tentaculata"
"2469","Ligia cinerascens"
"2470","Laomedia astacina"
"2471","Macrophthalmus japonicus"
"2472","Littorina brevicula"
"2473","Musculista senhousia"
"2474","Lycastopsis augeneri"
"2475","Pseudopolydora kempi"
"2476","Chiromantes haematocheir"
"2477","Chiromantes dehaani"
"2478","Laguncula pulchella"
"2479","Boonea umboniocola"
"2480","Glycera nicobarica"
"2481","Glycera macintoshi"
"2482","Hediste diadroma"
"2483","Truncatella pfeifferi"
"2484","Tylorrhynchus osawai"
"2485","Grandidierella japonica"
"2486","Parasesarma pictum"
"2487","Clistocoeloma merguiense"
"2488","Eulalia viridis"
"2489","Diastylis tricincta"
"2490","Palaemon macrodactylus"
"2491","Pontodrilus litoralis"
"2492","Paragrandidierella minima"
"2493","Helicana japonica"
"2494","Ptilohyale barbicornis"
"2495","Ampithoe valida"
"2496","Platorchestia platensis"
"2497","Eunaticina papilla"
"2498","Philine argentata"
"2499","Owenia fusiformis"
"2500","Chasmagnathus convexus"
"2501","Meretrix lusoria"
"2502","Platynereis bicanaliculata"
"2503","Caprella scaura"
"2504","Angustassiminea yoshidayukioi"
"2505","Neanthes succinea"
"2506","Amphibalanus improvisus"
"2507","Sphaeroma retrolaevis"
"2508","Sphaeroma sieboldii"
"2509","Xenostrobus securis"
"2510","Nuttallia japonica"
"2511","Cerithidea rhizophorarum"
"2512","Ocypode stimpsoni"
"2513","Melita setiflagella"
"2514","Ampithoe lacertosa"
"2515","Notomastus latericeus"
"2516","Stenothyra edogawensis"
"2517","Macoma incongrua"
"2518","Prionospio japonica"
"2519","Melita shimizui"
"2520","Cephalothrix linearis"
"2521","Arcotheres sinensis"
"2522","Sestrostoma toriumii"
"2523","Rhinoclavis vertagus"
"2524","Notocochlis gualteriana"
"2525","Mictyris guinotae"
"2526","Pupa strigosa strigosa"
"2527","Soletellina petalina"
"2528","Katelysia hiantina"
"2529","Calappa hepatica"
"2530","Laternula truncata"
"2531","Pinguitellina pinguis"
"2532","Nerita squamulata"
"2533","Clypeomorus irrorata"
"2534","Clypeomorus bifasciata"
"2535","Loxoglypta transculpta"
"2536","Natica fasciata"
"2537","Upogebia yokoyai"
"2538","Peronia verruculata"
"2539","Ligia exotica"
"2540","Coenobita cavipes"
"2541","Polinices mammilla"
"2542","Glycymeris reevei"
"2543","Loxoglypta compta"
"2544","Polinices pyriformis"
"2545","Fragum unedo"
"2546","Pharaonella perna"
"2547","Dosinia histrio"
"2548","Nassarius margaritifer"
"2549","Gari elongata"
"2550","Cerithium coralium"
"2551","Clypeomorus pellucida"
"2552","Allochroa layardi"
"2553","Coenobita rugosus"
"2554","Uca perplexa"
"2555","Strombus urceus"
"2556","Strombus gibberulus gibbosus"
"2557","Pitar pellucidum"
"2558","Smaragdia paulucciana"
"2559","Donax faba"
"2560","Atactodea striata"
"2561","Clithon oualaniensis"
"2562","Macoma dispar"
"2563","Nerita undulata"
"2564","Littoraria intermedia"
"2565","Littoraria pallescens"
"2566","Sinum planulatum"
"2567","Mactra grandis"
"2568","Auriculastra subula"
"2569","Melampus parvulus"
"2570","Palaemon debilis"
"2571","Coenobita violascens"
"2572","Uca tetragonon"
"2573","Polinices mellosus"
"2574","Siphonaria laciniosa"
"2575","Scylla serrata"
"2576","Tmethypocoelis choreutes"
"2577","Tellinella virgata"
"2578","Isognomon ephippium"
"2579","Eucithara marginelloides"
"2580","Semelangulus lacrimadugongi"
"2581","Perisesarma bidens"
"2582","Strombus turturella"
"2583","Patelloida conulus"
"2584","Batillaria multiformis"
"2585","Cerithidea cingulata"
"2586","Littoraria articulata"
"2587","Bedeva birileffi"
"2588","Pinna attenuata"
"2589","Trapezium liratum"
"2590","Octopus ocellatus"
"2591","Penaeus japonicus"
"2592","Nihonotrypaea harmandi"
"2593","Porcellanella triloba"
"2594","Uca lactea"
"2595","Macrophthalmus banzai"
"2596","Camptandrium sexdentatum"
"2597","Batillaria zonalis"
"2598","Chloeia flava"
"2599","Spiochaetopterus costarum"
"2600","Megabalanus rosa"
"2601","Pyromaia tuberculata"
"2602","Hemigrapsus longitarsis"
"2603","Parasesarma tripectinis"
"2604","Cerithidea ornata"
"2605","Elamenopsis ariakensis"
"2606","Acanthochitona defilippii"
"2607","Coecella chinensis"
"2608","Octopus minor"
"2609","Anomalodiscus squamosus"
"2610","Fistulobalanus kondakovi"
"2611","Paranthus sociatus"
"2612","Nerita japonica"
"2613","Rhinoclavis kochi"
"2614","Amphibalanus reticulatus"
"2615","Alpheus brevicristatus"
"2616","Cyclina sinensis"
"2617","Modiolus metcalfei"
"2618","Pseudoliotia pulchella"
"2619","Paratectonatica tigrina"
"2620","Pugilina tuba"
"2621","Laternula boschasina"
"2622","Xenophthalmus pinnotheroides"
"2623","Moerella rutila"
"2624","Hemifusus tuba"
"2625","Lagis bocki"
"2626","Lottia kogamogai"
"2627","Neritina cornucopia"
"2628","Cerithidea largillierti"
"2629","Umbonium costatum"
"2630","Curvemysella paula"
"2631","Ericthonius pugnax"
"2632","Abludomelita japonica"
"2633","Synidotea laevidorsalis"
"2634","Cymodoce japonica"
"2635","Crangon affinis"
"2636","Gari virescens"
"2637","Mesochaetopterus japonicus"
"2638","Cerithidea djadjariensis"
"2639","Cavernularia obesa"
"2640","Deiratonotus cristatus"
"2641","Thelepus setosus"
"2642","Uca arcuata"
"2643","Lumbrineris japonica"
"2644","Ostrea futamiensis"
"2645","Hydroides ezoensis"
"2646","Cerithideopsis largillierti"
"2647","Serratina diaphana"
"2648","Acanthochitona achates"
"2649","Pilumnopeus makianus"
"2650","Gari minor"
"2651","Glauconome chinensis"
"2652","Goniada maculata"
"2653","Paradexamine barnardi"
"2654","Tellina capsoides"
"2655","Moerella iridescens"
"2656","Eunice aphroditois"
"2657","Pinnixa balanoglossana"
"2658","Nephtys polybranchia"
"2659","Iravadia elegantula"
"2660","Assiminea estuarina"
"2661","Cingulina cingulata"
"2662","Wallucina striata"
"2663","Cryptomya busoensis"
"2664","Assiminea bella"
"2665","Phenacolepas pulchella"
"2666","Sphaeroma wadai"
"2667","Pagurus pilosipes"
"2668","Neanthes japonica"
"2669","Cellana toreuma"
"2670","Acmaeopleura parvula"
"2671","Nipponomysella subtruncata"
"2672","Hesione reticulata"
"2673","Moerella culter"
"2674","Planaxis sulcatus"
"2675","Peregrinamor ohshimai"
"2676","Ptychognathus ishii"
"2677","Mimachlamys nobilis"
"2678","Balanus trigonus"
"2679","Perinereis nuntia brevicirris"
"2680","Lottia cassis"
"2681","Arca avellana"
"2682","Meropesta nicobarica"
"2683","Circe scripta"
"2684","Gafrarium divaricatum"
"2685","Katelysia japonica"
"2686","Nanosesarma minutum"
"2687","Clithon faba"
"2688","Nitidotellina hokkaidoensis"
"2689","Acteocina koyasensis"
"2690","Perinereis nuntia vallata"
"2691","Galeommella utinomii"
"2692","Scoletoma longifolia"
"2693","Orinella pulchella"
"2694","Glycera americana"
"2695","Pinnixa haematosticta"
"2696","Apostichopus japonicus"
"2697","Holothuria leucospirota"
"2698","Holothuria pardalis"
"2699","Polycheira fusca"
"2700","Ophiarachnella gorgonia"
"2701","Coscinasterias acutispina"
"2702","Atergatis integerrimus"
"2703","Gaetice depressus"
"2704","Eriphia smithii"
"2705","Hemigrapsus sanguineus"
"2706","Leptodius exaratus"
"2707","Clibanarius virescens"
"2708","Pagurus filholi"
"2709","Petrolisthes japonicus"
"2710","Pugettia quadridens"
"2711","Tiarinia cornigera"
"2712","Palaemon pacificus"
"2713","Alpheus lobidens"
"2714","Palaemon serrifer"
"2715","Aplysia parvula"
"2716","Aplysia kurodai"
"2717","Aplysia juliana"
"2718","Haminoea japonica"
"2719","Scutus sinensis"
"2720","Patelloida saccharina lanx"
"2721","Siphonaria sirius"
"2722","Siphonaria japonica"
"2723","Nipponacmea concinna"
"2724","Leptochiton hirasei"
"2725","Callistochiton jacobaeus"
"2726","Lepidozona coreanica"
"2727","Notoplax conica"
"2728","Thais clavigera"
"2729","Reishia luteostoma"
"2730","Ammothea hilgendorfi"
"2731","Actinia equina"
"2732","Anemonia erythraea"
"2733","Cardita leana"
"2734","Botrylloides violaceus"
"2735","Ophioplocus japonicus"
"2736","Lunella coreensis"
"2737","Hemicentrotus pulcherrimus"
"2738","Holothuria moebii"
"2739","Anthopleura asiatica"
"2740","Reishia bronni"
"2741","Nerita albicilla"
"2742","Neodexiospira foraminosa"
"2743","Aquilonastra minor"
"2744","Spirobranchus kraussii"
"2745","Monodonta confusa"
"2746","Tetraclita japonica"
"2747","Saccostrea kegaki"
"2748","Macrophiothrix nereidina"
"2749","Anthocidaris crassispina"
"2750","Nipponacmea schrenckii"
"2751","Japeuthria ferrea"
"2752","Cellana nigrolineata"
"2753","Acartia (Acartia) danae"
"2754","Aetideus acutus"
"2755","Centropages gracilis"
"2756","Centropages"
"2757","Ctenocalanus vanus"
"2758","Clausocalanus arcuicornis"
"2759","Clausocalanus farrani"
"2760","Clausocalanus furcatus"
"2761","Aetideus giesbrechti"
"2762","Clausocalanus lividus"
"2763","Clausocalanus mastigophorus"
"2764","Clausocalanus minor"
"2765","Clausocalanus parapergens"
"2766","Clausocalanus pergens"
"2767","Clausocalanus"
"2768","Aetideus pacificus"
"2769","Pseudocalanus minutus"
"2770","Pseudocalanus newmani"
"2771","Pseudocalanus"
"2772","Pareucalanus attenuatus"
"2773","Eucalanus bungii"
"2774","Aetideus"
"2775","Eucalanus californicus"
"2776","Subeucalanus crassus"
"2777","Eucalanus hyalinus"
"2778","Subeucalanus subtenuis"
"2779","Chiridius poppei"
"2780","Subeucalanus subcrassus"
"2781","Subeucalanus pileatus"
"2782","Eucalanus"
"2783","Rhincalanus cornutus"
"2784","Rhincalanus nasutus"
"2785","Rhincalanus"
"2786","Euchaeta rimana"
"2787","Chirundina streetsii"
